Classificacao;CodigoSubclasseCNAE;DescricaoSubclasseCNAE;;;
Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;8711-5/01;Clínicas e residências geriátricas;;;
;8711-5/02;Instituições de longa permanência para idosos;;;
;8711-5/03;Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes;;;
;8711-5/04;Centros de apoio a pacientes com câncer e com AIDS;;;
;8711-5/05;Condomínios residenciais para idosos;;;
;;;;;
;;;;;
Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;8720-4/01;Atividades de centros de assistência psicossocial;;;
;8720-4/99;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química e grupos similares não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de assistência social;8730-1/01;Orfanatos;;;
;8730-1/02;Albergues assistenciais;;;
;8730-1/99;Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente;;;
;8800-6/00;Serviços de assistência social sem alojamento;;;
;;;;;
;;;;;
Atividades de atenção ambulatorial executadas por médicos e odontólogos;8630-5/01;Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;;;
;8630-5/02;Atividade médica ambulatorial com recursos para realização de exames complementares;;;
;8630-5/03;Atividade médica ambulatorial restrita a consultas;;;
;8630-5/04;Atividade odontológica;;;
;8630-5/06;Serviços de vacinação e imunização humana;;;
;8630-5/07;Atividades de reprodução humana assistida;;;
;8630-5/99;Atividades de atenção ambulatorial não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de atendimento hospitalar;8610-1/01;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;;;
;8610-1/02;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;;;
;;;;;
;;;;;
Atividades de ensino;8511-2/00;Educação infantil – creche;;;
;8512-1/00;Educação infantil - pré-escola;;;
;8513-9/00;Ensino fundamental;;;
;8520-1/00;Ensino médio;;;
;8531-7/00;Educação superior – graduação;;;
;8532-5/00;Educação superior - graduação e pós-graduação;;;
;8533-3/00;Educação superior - pós-graduação e extensão;;;
;8541-4/00;Educação profissional de nível técnico;;;
;8542-2/00;Educação profissional de nível tecnológico;;;
;8591-1/00;Ensino de esportes;;;
;;;;;
;;;;;
Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;8712-3/00;Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;;;
;;;;;
;;;;;
Atividades de limpeza;8121-4/00;Limpeza em prédios e em domicílios;;;
;8129-0/00;Atividades de limpeza não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de profissionais da área de saúde, exceto médicos e odontólogos;8650-0/01;Atividades de enfermagem;;;
;8650-0/02;Atividades de profissionais da nutrição;;;
;8650-0/03;Atividades de psicologia e psicanálise;;;
;8650-0/04;Atividades de fisioterapia;;;
;8650-0/05;Atividades de terapia ocupacional;;;
;8650-0/06;Atividades de fonoaudiologia;;;
;8650-0/07;Atividades de terapia de nutrição enteral e parenteral;;;
;8650-0/99;Atividades de profissionais da área de saúde não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de serviços de complementação diagnóstica e terapêutica;8640-2/01;Laboratórios de anatomia patológica e citológica;;;
;8640-2/02;Laboratórios clínicos;;;
;8640-2/03;Serviços de diálise e nefrologia;;;
;8640-2/04;Serviços de tomografia;;;
;8640-2/05;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;;;
;8640-2/06;Serviços de ressonância magnética;;;
;8640-2/07;Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética;;;
;8640-2/08;Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos;;;
;8640-2/09;Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos;;;
;8640-2/10;Serviços de quimioterapia;;;
;8640-2/11;Serviços de radioterapia;;;
;8640-2/12;Serviços de hemoterapia;;;
;8640-2/13;Serviços de litotripsia;;;
;8640-2/14;Serviços de bancos de células e tecidos humanos;;;
;8640-2/99;Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades esportivas, recreação e lazer;9312-3/00;Clubes sociais, esportivos e similares;;;
;9313-1/00;Atividades de condicionamento físico;;;
;9321-2/00;Parques de diversão e parques temáticos;;;
;;;;;
;;;;;
Atividades funerárias e serviços relacionados;9603-3/02;Serviços de cremação;;;
;9603-3/03;Serviços de sepultamento;;;
;9603-3/04;Serviços de funerárias;;;
;9603-3/05;Serviços de somatoconservação;;;
;9603-3/99;Atividades funerárias e serviços relacionados não especificados anteriormente;;;
;;;;;
;;;;;
Atividades veterinárias;7500-1/00;Atividades veterinárias;;;
;;;;;
;;;;;
Cabeleireiros e outras atividades de tratamento de beleza;9602-5/01;Cabeleireiros, manicure e pedicure;;;
;9602-5/02;Atividades de estética e outros serviços de cuidados com a beleza;;;
;;;;;
;;;;;
Centros de Bioequivalência;7210-0/00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;;;
;;;;;
;;;;;
Comércio Atacadista de Alimentos;4621-4/00;Comércio atacadista de café em grão;;;
;4622-2/00;Comércio atacadista de soja;;;
;4623-1/05;Comércio atacadista de cacau;;;
;4623-1/08;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;;;
;4623-1/99;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;;;
;4631-1/00;Comércio atacadista de leite e laticínios;;;
;4632-0/01;Comércio atacadista de cereais e leguminosas beneficiados;;;
;4632-0/02;Comércio atacadista de farinhas, amidos e féculas;;;
;4632-0/03;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;;;
;4633-8/01;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;;;
;4633-8/02;Comércio atacadista de aves vivas e ovos;;;
;4634-6/01;Comércio atacadista de carnes bovinas e suínas e derivados;;;
;4634-6/02;Comércio atacadista de aves abatidas e derivados;;;
;4634-6/03;Comércio atacadista de pescados e frutos do mar;;;
;4634-6/99;Comércio atacadista de carnes e derivados de outros animais;;;
;4635-4/01;Comércio atacadista de água mineral;;;
;4635-4/03;Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;;;
;4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente;;;
;4637-1/01;Comércio atacadista de café torrado, moído e solúvel;;;
;4637-1/02;Comércio atacadista de açúcar;;;
;4637-1/03;Comércio atacadista de óleos e gorduras;;;
;4637-1/04;Comércio atacadista de pães, bolos, biscoitos e similares;;;
;4637-1/05;Comércio atacadista de massas alimentícias;;;
;4637-1/06;Comércio atacadista de sorvetes;;;
