idPergunta;descricaoPergunta
1;A produção é artesanal?
2;A produção é artesanal e diferente de conservas?
3;Há produção de bebidas à base de soja?
4;Há exclusivamente a produção de não comestíveis?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
5;A produção é artesanal?
6;A produção é artesanal e de alimentos com dispensa de registro sanitário?
7;Há exclusivamente a produção de alimentos com Padrão de Identidade e Qualidade do Ministério da Agricultura, Pecuária e Abastecimeto?
8;Há produção de embalagem para alimentos?
8;Há produção de embalagem para alimentos?
8;Há produção de embalagem para alimentos?
9;Há fabricação de gases medicinais ou gases substâncias ativas?
10;Há fabricação de  produtos químicos orgânicos empregados como aditivos para alimento, saneantes ou insumos para fabricação de saneantes?
10;Há fabricação de  produtos químicos orgânicos empregados como aditivos para alimento, saneantes ou insumos para fabricação de saneantes?
11;Há fabricação de saneantes?
12;"O resultado do exercício da atividade for utilizado para o revestimento interno de embalagens que entram em contato com alimentos; e  sejam tintas, vernizes, esmaltes, lacas, pigmentos e/ou corantes que utilizam precursores no processo de síntese química nestes compostos?"
13;"O resultado do exercício da atividade for utilizado para o revestimento interno de embalagens que entram em contato com alimentos; e  sejam, adesivos, colas, decalques e selantes para uso industrial e doméstico de origem animal, vegetal e sintética que utilizam precursores no processo de síntese química destes compostos?"
14;Há fabricação de aditivo alimentar, insumos farmacêuticos, insumos para cosméticos, perfumes, produtos de higiene ou saneantes?
15;Há produção de insumo farmacêutico ou insumos para cosméticos, perfumes e produto de higiene ou saneantes?
16;Há fabricação de chupetas, bico de mamadeiras, produtos para saúde ou produtos de higiene?
8;Há produção de embalagem para alimentos?
17;Há produção de mamadeiras?
18;Há fabricação de  produtos para saúde, produtos de higiene ou destinados a entrar em contato com alimentos?
8;Há produção de embalagem para alimentos?
8;Há produção de embalagem para alimentos?
8;Há produção de embalagem para alimentos?
8;Há produção de embalagem para alimentos?
19;Há fabricação de produtos para saúde?
19;Há fabricação de produtos para saúde?
19;Há fabricação de produtos para saúde?
20;Há fabricação de produtos de higiene?
19;Há fabricação de produtos para saúde?
21;Há comercialização de produtos para saúde de uso profissional?
22;Há comércio atacadista de água mineral com atividade de engarrafamento?
24;Há distribuição de gases medicinais?
23;Há comercialização de medicamentos, gases medicinais, produtos de higiene, perfumes, cosméticos, saneantes e insumos para fabricação dos mesmos ou produtos para saúde?
25;Há atividade de transformação artesanal e/ou autosserviço?
26;Há comercialização de medicamentos (drugstore)?
21;Há comercialização de produtos para saúde de uso profissional?
27;Há comercialização de cosméticos, saneantes, produtos para saúde ou alimentos?
28;Há transporte de alimentos?
28;Há transporte de alimentos?
28;Há transporte de alimentos?
28;Há transporte de alimentos?
28;Há transporte de alimentos?
28;Há transporte de alimentos?
28;Há transporte de alimentos?
29;Há armazenamento de produtos sujeitos ao controle sanitário?
29;Há armazenamento de produtos sujeitos ao controle sanitário?
30;Há desenvolvimento de produtos para saúde (softwares que realizam ou influenciam diretamente no diagnóstico, monitoramento, terapia (tratamento) para a saúde)?
30;Há desenvolvimento de produtos para saúde (softwares que realizam ou influenciam diretamente no diagnóstico, monitoramento, terapia (tratamento) para a saúde)?
31;Há realização de uma das seguintes análises: física, química, biotecnológica, bromatológica, cromatográfica, biológica, microbiológica, toxicológica e outros testes analíticos em produtos sujeitos à Vigilância Sanitária (água para consumo humano e outros fins, alimentos, medicamentos, insumos farmacêuticos, produtos para saúde, cosméticos, produtos de higiene, perfumes, saneantes domissanitários)?
32;Há realização de pesquisas de bioequivalência, biodisponibilidade, ensaios clínicos ou análise de controle de qualidade de produtos sujeitos ao controle sanitário?
33;Há aluguel de produtos para saúde de uso profissional?
33;Há aluguel de produtos para saúde de uso profissional?
34;Há processamento de produtos para saúde (materiais médico hospitalares)?
35;Ocorre o envase ou empacotamento de medicamentos, gases medicinais, gases substâncias ativas, produtos de higiene, perfumes, cosméticos, saneantes, insumos para fabricação dos mesmos, produtos para saúde ou alimentos (exceto de origem animal)?
36;Há realização de procedimentos invasivos? 
37;Há realização de procedimentos invasivos e/ou procedimento com utilização de anestesia e sedação?
36;Há realização de procedimentos invasivos? 
36;Há realização de procedimentos invasivos? 
38;Há realização de procedimentos invasivos?
39;Há realização de procedimentos invasivos e/ou procedimento com utilização anestesia e sedação ou uso de radiação ionizante?
40;O estabelecimento possui leitos de internação?
41;O estabelecimento possui piscina?
42;Há processamento de roupas hospitalares?
42;Há processamento de roupas hospitalares?
36;Há realização de procedimentos invasivos? 
43;O serviço realiza atividade de necrópsia?
